,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
15,501.71,536.34,600.74,480.37,531.57,411.84,616.63,506.27,400.24,483.47,401.28,517.17,477.26,388.33,466.73,669.58,432.65,437.55,420.12,456.73,660.96,496.85,486.87,406.09,545.81,518.16,414.53,530.02,508.52,507.61,530.68,424.67,459.5,480.47,372.16,481.15,518.43,424.8,620.83,524.9,427.94,317.02,334.11,482.78,646.48,541.87,599.41,554.24,552.92,375.77
16,510.29,545.92,609.32,489.95,541.15,420.42,625.21,515.85,408.82,493.05,409.86,525.75,485.84,396.91,476.31,678.16,442.23,446.13,429.7,466.31,669.54,505.43,495.45,414.67,554.39,526.74,423.11,538.6,517.1,517.19,539.26,433.25,469.08,489.05,381.74,489.73,527.01,434.38,630.41,533.48,436.52,325.6,343.69,492.36,656.06,550.45,607.99,562.82,561.5,384.35
17,501.79,537.42,600.82,481.46,532.65,411.92,617.71,507.35,400.32,484.56,401.36,517.26,477.34,388.42,467.81,669.66,433.73,437.63,421.21,457.81,661.05,496.93,486.95,406.17,545.89,518.24,414.61,530.1,508.6,508.69,530.76,424.75,460.58,480.55,373.24,481.23,518.51,425.88,621.91,524.98,428.02,317.1,335.19,483.86,647.56,541.95,599.49,554.33,553.0,375.85
18,500.05,534.68,599.08,478.72,529.91,410.18,614.98,504.61,398.58,481.82,399.62,515.52,475.6,386.68,465.07,667.92,430.99,435.89,418.47,455.08,659.31,495.2,485.21,404.44,544.15,516.51,509.87,528.36,506.87,505.95,529.02,423.02,457.84,478.81,370.5,479.5,516.78,423.15,619.17,523.25,426.29,315.36,332.46,481.12,644.83,540.21,597.75,552.59,551.27,374.12
19,504.91,540.54,600.51,480.28,535.77,416.04,616.54,510.46,403.44,487.67,407.59,521.37,481.46,387.24,466.63,673.78,432.55,412.45,424.32,460.93,665.16,496.76,491.07,406.0,544.71,517.07,414.43,533.22,507.43,507.51,533.88,424.58,459.41,479.37,372.06,481.06,517.34,424.71,625.03,531.22,431.14,321.21,338.31,482.68,646.39,546.06,603.61,557.44,557.12,375.68
20,501.65,536.28,599.68,480.32,531.51,411.78,616.58,506.21,400.18,483.42,401.22,517.12,477.2,388.28,466.67,669.52,432.59,437.49,420.07,456.68,660.91,496.8,486.81,406.04,545.75,518.11,414.47,529.96,507.47,507.55,530.62,424.61,459.44,480.41,372.1,481.1,518.37,424.74,620.77,524.85,427.89,316.96,334.06,482.72,646.43,541.81,599.35,554.19,552.87,375.72
21,506.11,541.74,605.14,485.77,536.97,416.23,622.03,511.66,404.64,488.87,405.68,521.57,482.66,392.73,472.12,673.97,438.05,417.95,425.52,462.13,666.36,501.25,492.27,410.49,620.21,522.56,418.93,534.42,512.92,513.01,535.08,430.07,464.9,484.86,377.56,485.55,522.83,430.2,626.23,529.3,432.34,321.41,339.51,488.17,651.88,547.26,603.81,558.64,557.32,380.17
22,504.77,540.4,603.8,484.44,535.63,415.9,620.69,510.33,403.3,487.53,404.34,520.23,481.32,391.39,470.79,673.64,436.71,416.61,424.19,460.79,665.02,500.91,490.93,409.15,548.87,521.22,515.59,533.08,511.58,511.67,533.74,428.73,463.56,483.53,376.22,484.21,521.49,428.86,624.89,527.96,431.0,321.08,338.17,486.84,650.54,545.93,602.47,557.31,556.98,378.83
23,494.32,529.95,593.34,473.98,525.18,404.44,610.24,499.87,392.84,477.08,393.89,509.78,470.87,380.94,460.33,662.18,426.25,406.16,413.73,450.34,654.57,489.46,480.47,398.7,538.42,510.77,407.14,522.63,501.13,501.22,523.29,418.28,453.11,445.07,365.77,473.76,511.04,418.41,614.44,517.51,420.55,309.62,327.72,476.38,640.09,535.47,592.02,546.85,545.53,368.38
24,504.89,539.52,603.92,483.56,534.75,415.02,619.81,509.45,403.42,486.66,404.46,520.35,480.44,391.52,469.91,672.76,435.83,416.73,424.31,459.92,664.15,500.03,490.05,409.27,548.99,521.34,514.71,533.2,511.7,510.79,533.86,427.85,463.68,483.65,375.34,484.33,521.61,427.98,624.01,528.08,431.12,320.2,338.29,485.96,649.67,545.05,602.59,557.43,556.1,378.95
25,504.62,539.25,602.65,483.29,534.48,414.75,619.54,509.18,402.15,486.38,404.19,520.08,480.17,391.24,469.64,672.49,435.56,416.46,423.04,459.64,663.87,499.76,489.78,409.0,548.72,521.07,514.44,532.93,510.43,510.52,533.59,427.58,462.41,482.38,375.07,484.06,520.34,427.71,623.74,527.81,429.85,319.93,337.02,485.69,582.39,544.78,602.32,557.16,555.83,378.68
26,504.38,539.01,602.41,483.05,534.24,414.51,619.31,508.94,402.91,486.15,403.95,519.85,479.93,391.01,469.4,672.25,435.32,416.22,422.8,459.41,663.64,499.53,489.54,408.77,548.48,520.84,514.2,532.69,511.2,510.28,533.35,427.34,462.17,483.14,374.83,483.83,521.1,427.47,623.5,527.58,430.61,319.69,336.79,485.45,582.16,544.54,602.08,556.92,555.6,378.45
27,501.86,536.49,599.89,480.52,531.72,411.98,616.78,506.42,399.39,483.62,401.43,517.32,477.41,388.48,466.88,669.72,432.8,437.7,420.27,456.88,661.11,497.0,487.02,406.24,545.96,518.31,414.68,529.17,507.67,507.76,529.83,424.82,459.65,479.62,372.31,481.3,517.58,424.95,620.98,525.05,427.09,317.17,334.26,482.93,646.63,542.02,599.56,554.39,553.07,375.92
28,503.91,538.54,601.94,482.57,533.77,414.03,618.83,508.46,402.44,485.67,403.48,519.37,479.46,390.53,468.93,671.77,434.84,415.75,422.32,458.93,663.16,499.05,489.07,408.29,548.01,520.36,513.73,532.22,509.72,509.81,532.88,426.87,461.7,482.67,374.36,483.35,520.63,427.0,623.03,527.1,430.14,319.21,336.31,484.97,581.68,544.06,601.61,556.44,555.12,377.97
29,499.38,535.01,598.41,479.04,530.24,410.51,615.3,504.94,397.91,482.14,399.95,514.84,475.93,386.0,465.4,668.24,431.32,436.22,418.79,455.4,659.63,495.52,485.54,404.76,543.48,515.83,510.2,527.69,506.19,506.28,528.35,423.34,458.17,478.14,370.83,479.82,516.1,423.47,619.5,523.57,425.61,315.69,332.78,481.44,645.15,540.54,598.08,551.91,551.59,374.44
