,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
15,343.1,368.61,416.28,336.38,308.32,320.17,517.6,372.3,315.1,304.83,308.36,404.91,375.99,283.44,373.66,482.69,351.24,344.02,331.53,343.91,389.14,408.85,351.69,267.04,318.72,334.4,275.48,305.77,336.76,336.84,406.71,285.62,352.5,332.51,212.61,333.16,334.67,306.03,403.26,497.73,328.13,327.3,284.16,378.82,507.75,418.9,347.59,402.22,469.25,317.69
16,393.39,418.9,465.57,385.67,357.61,369.46,566.89,422.59,365.39,355.12,313.65,455.2,426.28,333.73,423.95,532.98,401.53,393.31,381.83,394.2,439.44,459.15,401.99,317.33,369.02,384.69,324.77,356.06,386.05,386.14,457.0,335.91,401.8,381.81,261.9,383.45,383.96,356.32,452.55,547.03,378.42,301.59,293.45,429.11,557.04,468.19,396.88,451.52,519.55,367.98
17,255.74,281.25,328.93,249.02,220.96,231.82,430.24,284.94,227.74,217.47,206.01,317.55,288.64,196.08,286.3,418.34,263.89,256.67,244.18,256.56,301.79,344.5,264.34,179.69,231.37,247.04,188.12,218.41,249.4,248.49,319.35,198.27,264.15,245.16,124.26,245.8,247.31,218.67,315.91,410.38,240.77,192.95,185.8,291.47,420.39,331.54,260.23,314.87,381.9,230.34
18,330.99,355.5,403.18,323.27,295.21,307.06,504.49,359.19,301.99,291.72,211.26,391.8,363.89,270.33,361.55,469.58,339.14,330.92,318.43,331.81,376.04,395.75,338.59,253.93,305.62,321.29,262.37,292.66,323.65,323.74,394.6,272.51,339.4,319.41,199.51,320.05,321.56,293.92,390.16,484.63,315.02,198.19,191.05,365.72,494.64,405.79,334.48,389.12,456.15,305.58
19,267.83,293.34,340.01,260.11,232.05,243.9,441.33,297.03,239.83,229.56,266.09,329.64,300.72,207.17,298.39,407.42,275.97,267.75,256.27,268.64,313.87,333.59,276.43,191.77,243.46,259.13,199.21,230.5,260.49,260.57,331.44,210.35,276.23,256.24,136.34,257.89,258.4,230.76,326.99,421.46,252.86,254.03,207.89,303.55,431.48,342.63,271.32,325.95,393.98,242.42
20,292.11,317.62,365.29,285.39,257.33,269.18,466.61,321.31,264.11,253.84,231.37,353.92,325.0,232.45,322.67,431.7,300.25,293.03,280.55,292.92,338.16,357.87,300.71,216.05,267.74,283.41,224.49,254.78,285.77,285.85,355.72,234.63,301.52,281.53,161.62,282.17,283.68,255.04,352.27,446.74,277.14,219.31,211.17,327.83,456.76,367.91,296.6,351.24,418.27,266.7
21,288.39,313.9,360.57,280.67,252.61,264.46,461.89,317.59,260.39,250.12,229.66,350.2,321.29,227.73,318.95,427.98,296.54,288.32,275.83,289.21,334.44,354.15,295.99,212.33,264.02,278.69,219.77,251.06,281.05,281.14,352.0,230.91,296.8,276.81,156.91,278.45,278.96,251.32,347.56,442.03,273.42,217.59,209.45,324.12,452.04,363.19,291.88,346.52,414.55,262.98
22,257.62,283.13,330.8,250.9,222.84,234.69,432.12,286.81,229.61,219.34,253.88,319.43,290.51,197.96,288.17,397.21,265.76,258.54,246.05,258.43,303.66,323.37,266.21,181.56,233.24,248.92,190.0,220.29,251.28,251.36,321.23,200.14,267.02,247.03,127.13,247.68,249.19,220.55,317.78,412.25,242.65,241.82,198.67,293.34,422.27,333.41,262.11,316.74,383.77,232.21
23,282.99,307.5,355.17,275.27,247.21,259.06,456.49,311.19,253.99,243.72,203.25,343.8,315.88,222.33,313.55,421.58,291.13,282.91,270.43,283.8,328.03,347.75,327.59,205.93,257.62,273.29,214.37,244.66,275.65,275.73,346.6,225.51,291.39,271.4,151.5,272.05,273.56,245.92,342.15,436.62,267.02,190.19,183.05,317.71,446.64,357.79,286.48,341.11,408.15,257.58
24,268.24,293.75,341.43,261.52,233.46,244.32,442.74,297.44,240.24,229.97,233.51,330.05,301.14,208.58,298.8,407.84,276.39,269.17,256.68,269.06,314.29,334.0,312.84,192.19,243.87,259.54,200.62,230.91,261.9,260.99,331.85,210.77,276.65,257.66,136.76,258.3,259.81,231.17,328.41,422.88,253.27,271.45,209.3,303.97,432.89,344.04,272.73,327.37,394.4,242.84
