source_index,target_index,distance_m,duration_s,waycategory
"[-75.1978355, 40.0456432]","[-75.16608, 39.9510606]",15113.3,1415.1,"[[0, 87, 0], [87, 228, 1], [228, 254, 0]]"
"[-75.1978355, 40.0456432]","[-75.1664209, 39.9503433]",13516.4,1430.4,"[[0, 257, 0]]"
"[-75.1978355, 40.0456432]","[-75.1561177, 39.9487839]",13656.0,1481.1,"[[0, 273, 0]]"
"[-75.1978355, 40.0456432]","[-75.1595695, 39.950964]",12894.2,1352.7,"[[0, 250, 0]]"
"[-75.1978355, 40.0456432]","[-75.1498611, 39.9520642]",13224.6,1372.6,"[[0, 250, 0]]"
"[-75.1954465, 40.0575285]","[-75.1666744, 39.9529142]",15615.3,1591.8,"[[0, 290, 0]]"
"[-75.1954465, 40.0575285]","[-75.1547527, 39.9461843]",15567.1,1664.6,"[[0, 314, 0]]"
"[-75.1954465, 40.0575285]","[-75.1588087, 39.9519519]",14806.4,1508.6,"[[0, 279, 0]]"
"[-75.1954465, 40.0575285]","[-75.1555507, 39.9554634]",14404.9,1467.5,"[[0, 271, 0]]"
"[-75.1954465, 40.0575285]","[-75.1683452, 39.953861]",15361.4,1557.6,"[[0, 286, 0]]"
"[-75.1954465, 40.0575285]","[-75.1524421, 39.9486116]",15122.6,1603.1,"[[0, 304, 0]]"
"[-75.1954465, 40.0575285]","[-75.1696579, 39.9671376]",12961.2,1350.4,"[[0, 223, 0]]"
"[-75.1954465, 40.0575285]","[-75.1687489, 39.9511026]",16902.0,1563.7,"[[0, 120, 0], [120, 261, 1], [261, 286, 0]]"
"[-75.1954465, 40.0575285]","[-75.1513737, 39.9499548]",14937.0,1562.1,"[[0, 302, 0]]"
"[-75.1954465, 40.0575285]","[-75.1658471, 39.9513517]",15331.4,1570.1,"[[0, 287, 0]]"
"[-75.1954465, 40.0575285]","[-75.1808705, 39.9496709]",16744.7,1593.4,"[[0, 120, 0], [120, 261, 1], [261, 289, 0]]"
"[-75.1954465, 40.0575285]","[-75.16993, 39.954012]",16646.7,1565.7,"[[0, 120, 0], [120, 261, 1], [261, 281, 0]]"
"[-75.1954465, 40.0575285]","[-75.1689145, 39.9534406]",16644.2,1569.6,"[[0, 120, 0], [120, 261, 1], [261, 282, 0]]"
"[-75.1954465, 40.0575285]","[-75.1621446, 39.9565208]",14633.3,1487.5,"[[0, 274, 0]]"
"[-75.1954465, 40.0575285]","[-75.1562587, 39.9526803]",14892.5,1529.6,"[[0, 281, 0]]"
"[-75.1954465, 40.0575285]","[-75.160496, 39.9495792]",14979.8,1538.2,"[[0, 285, 0]]"
"[-75.1954465, 40.0575285]","[-75.1596329, 39.9559719]",14360.6,1461.7,"[[0, 271, 0]]"
"[-75.1954465, 40.0575285]","[-75.1543343, 39.9547207]",14718.6,1522.4,"[[0, 276, 0]]"
"[-75.1954465, 40.0575285]","[-75.1512021, 39.9477973]",15089.7,1580.7,"[[0, 305, 0]]"
"[-75.1954465, 40.0575285]","[-75.1712732, 39.953202]",16452.6,1539.8,"[[0, 120, 0], [120, 261, 1], [261, 278, 0]]"
"[-75.1954465, 40.0575285]","[-75.1646384, 39.9505969]",15448.6,1584.8,"[[0, 288, 0]]"
"[-75.1954465, 40.0575285]","[-75.1553822, 39.9564976]",14766.4,1536.1,"[[0, 277, 0]]"
"[-75.1954465, 40.0575285]","[-75.1521691, 39.9498503]",15436.1,1598.5,"[[0, 300, 0]]"
"[-75.1954465, 40.0575285]","[-75.1655738, 39.9548474]",15022.7,1514.9,"[[0, 275, 0]]"
"[-75.1954465, 40.0575285]","[-75.1462398, 39.9534007]",14748.8,1540.5,"[[0, 306, 0]]"
"[-75.1954465, 40.0575285]","[-75.1669977, 39.9542162]",15388.1,1568.5,"[[0, 284, 0]]"
"[-75.1954465, 40.0575285]","[-75.1659027, 39.9549769]",15062.6,1524.4,"[[0, 276, 0]]"
"[-75.1954465, 40.0575285]","[-75.1691875, 39.9538357]",15421.8,1567.1,"[[0, 288, 0]]"
"[-75.1954465, 40.0575285]","[-75.168648, 39.9552849]",15294.5,1552.2,"[[0, 282, 0]]"
"[-75.1954465, 40.0575285]","[-75.1686976, 39.9550004]",15293.7,1552.1,"[[0, 282, 0]]"
"[-75.1954465, 40.0575285]","[-75.1666223, 39.951126]",17048.4,1579.3,"[[0, 120, 0], [120, 261, 1], [261, 287, 0]]"
"[-75.1954465, 40.0575285]","[-75.1658779, 39.9533135]",15138.4,1527.3,"[[0, 278, 0]]"
"[-75.1954465, 40.0575285]","[-75.1541314, 39.9549848]",14560.5,1484.4,"[[0, 274, 0]]"
"[-75.1954465, 40.0575285]","[-75.1548244, 39.9607]",13966.0,1417.4,"[[0, 254, 0]]"
"[-75.1954465, 40.0575285]","[-75.1729633, 39.9619508]",14363.4,1519.8,"[[0, 252, 0]]"
"[-75.1954465, 40.0575285]","[-75.1559444, 39.9539208]",14540.9,1504.8,"[[0, 274, 0]]"
"[-75.1954465, 40.0575285]","[-75.1669336, 39.9542882]",15392.1,1569.2,"[[0, 284, 0]]"
"[-75.1954465, 40.0575285]","[-75.1604697, 39.9560453]",14809.9,1493.9,"[[0, 274, 0]]"
"[-75.1954465, 40.0575285]","[-75.1675937, 39.9498476]",17436.7,1607.1,"[[0, 120, 0], [120, 261, 1], [261, 297, 0]]"
"[-75.1954465, 40.0575285]","[-75.1670679, 39.9458843]",16023.0,1671.2,"[[0, 302, 0]]"
"[-75.1954465, 40.0575285]","[-75.1552838, 39.9513696]",15112.3,1559.2,"[[0, 285, 0]]"
"[-75.1954465, 40.0575285]","[-75.1779185, 39.9527664]",16030.6,1476.5,"[[0, 120, 0], [120, 261, 1], [261, 274, 0]]"
"[-75.1954465, 40.0575285]","[-75.1797862, 39.9531685]",16200.0,1512.5,"[[0, 120, 0], [120, 254, 1], [254, 278, 0]]"
"[-75.1954465, 40.0575285]","[-75.1544702, 39.9614844]",13873.1,1395.1,"[[0, 251, 0]]"
"[-75.1954465, 40.0575285]","[-75.1655897, 39.9673357]",13334.9,1331.4,"[[0, 231, 0]]"
"[-75.1954465, 40.0575285]","[-75.16608, 39.9510606]",17095.1,1584.1,"[[0, 120, 0], [120, 261, 1], [261, 287, 0]]"
"[-75.1954465, 40.0575285]","[-75.1664209, 39.9503433]",15498.1,1599.3,"[[0, 290, 0]]"
"[-75.1954465, 40.0575285]","[-75.1561177, 39.9487839]",15565.3,1648.0,"[[0, 313, 0]]"
"[-75.1954465, 40.0575285]","[-75.1595695, 39.950964]",14875.9,1521.7,"[[0, 283, 0]]"
"[-75.1954465, 40.0575285]","[-75.1498611, 39.9520642]",14582.9,1504.6,"[[0, 296, 0]]"
"[-75.2003548, 40.0494771]","[-75.1666744, 39.9529142]",14133.8,1481.8,"[[0, 269, 0]]"
"[-75.2003548, 40.0494771]","[-75.1547527, 39.9461843]",14158.0,1556.7,"[[0, 286, 0]]"
"[-75.2003548, 40.0494771]","[-75.1588087, 39.9519519]",13324.8,1398.6,"[[0, 258, 0]]"
"[-75.2003548, 40.0494771]","[-75.1555507, 39.9554634]",12923.3,1357.6,"[[0, 250, 0]]"
"[-75.2003548, 40.0494771]","[-75.1683452, 39.953861]",13879.8,1447.6,"[[0, 265, 0]]"
"[-75.2003548, 40.0494771]","[-75.1524421, 39.9486116]",14264.5,1530.0,"[[0, 270, 0]]"
"[-75.2003548, 40.0494771]","[-75.1696579, 39.9671376]",11479.6,1240.4,"[[0, 202, 0]]"
