source_index,target_index,distance_m,duration_s,waycategory
"[-75.0822142, 40.0559739]","[-75.1595695, 39.950964]",15650.4,1394.7,"[[0, 308, 0]]"
"[-75.0822142, 40.0559739]","[-75.1498611, 39.9520642]",14981.9,1304.3,"[[0, 258, 0]]"
"[-75.0844217, 40.0579073]","[-75.1666744, 39.9529142]",16308.1,1437.4,"[[0, 312, 0]]"
"[-75.0844217, 40.0579073]","[-75.1547527, 39.9461843]",15884.4,1436.8,"[[0, 273, 0]]"
"[-75.0844217, 40.0579073]","[-75.1588087, 39.9519519]",15499.1,1354.2,"[[0, 301, 0]]"
"[-75.0844217, 40.0579073]","[-75.1555507, 39.9554634]",15097.7,1313.1,"[[0, 293, 0]]"
"[-75.0844217, 40.0579073]","[-75.1683452, 39.953861]",16054.1,1403.1,"[[0, 308, 0]]"
"[-75.0844217, 40.0579073]","[-75.1524421, 39.9486116]",15439.9,1375.3,"[[0, 263, 0]]"
"[-75.0844217, 40.0579073]","[-75.1696579, 39.9671376]",14868.7,1311.9,"[[0, 280, 0]]"
"[-75.0844217, 40.0579073]","[-75.1687489, 39.9511026]",16362.6,1432.2,"[[0, 314, 0]]"
"[-75.0844217, 40.0579073]","[-75.1513737, 39.9499548]",15254.3,1334.4,"[[0, 261, 0]]"
"[-75.0844217, 40.0579073]","[-75.1658471, 39.9513517]",16024.2,1415.6,"[[0, 309, 0]]"
"[-75.0844217, 40.0579073]","[-75.1808705, 39.9496709]",17831.2,1620.1,"[[0, 342, 0]]"
"[-75.0844217, 40.0579073]","[-75.16993, 39.954012]",16625.5,1469.5,"[[0, 318, 0]]"
"[-75.0844217, 40.0579073]","[-75.1689145, 39.9534406]",16623.0,1473.5,"[[0, 319, 0]]"
"[-75.0844217, 40.0579073]","[-75.1621446, 39.9565208]",15326.1,1333.0,"[[0, 296, 0]]"
"[-75.0844217, 40.0579073]","[-75.1562587, 39.9526803]",15502.6,1355.8,"[[0, 271, 0]]"
"[-75.0844217, 40.0579073]","[-75.160496, 39.9495792]",15672.5,1383.8,"[[0, 307, 0]]"
"[-75.0844217, 40.0579073]","[-75.1596329, 39.9559719]",15053.4,1307.2,"[[0, 293, 0]]"
"[-75.0844217, 40.0579073]","[-75.1543343, 39.9547207]",15390.7,1349.4,"[[0, 267, 0]]"
"[-75.0844217, 40.0579073]","[-75.1512021, 39.9477973]",15407.0,1352.9,"[[0, 264, 0]]"
"[-75.0844217, 40.0579073]","[-75.1712732, 39.953202]",16458.9,1464.5,"[[0, 314, 0]]"
"[-75.0844217, 40.0579073]","[-75.1646384, 39.9505969]",16141.3,1430.3,"[[0, 310, 0]]"
"[-75.0844217, 40.0579073]","[-75.1553822, 39.9564976]",15459.2,1381.6,"[[0, 299, 0]]"
"[-75.0844217, 40.0579073]","[-75.1521691, 39.9498503]",15514.0,1383.8,"[[0, 267, 0]]"
"[-75.0844217, 40.0579073]","[-75.1655738, 39.9548474]",15715.5,1360.4,"[[0, 297, 0]]"
"[-75.0844217, 40.0579073]","[-75.1462398, 39.9534007]",15066.0,1312.7,"[[0, 265, 0]]"
"[-75.0844217, 40.0579073]","[-75.1669977, 39.9542162]",16080.8,1414.1,"[[0, 306, 0]]"
"[-75.0844217, 40.0579073]","[-75.1659027, 39.9549769]",15755.3,1370.0,"[[0, 298, 0]]"
"[-75.0844217, 40.0579073]","[-75.1691875, 39.9538357]",16114.6,1412.7,"[[0, 310, 0]]"
"[-75.0844217, 40.0579073]","[-75.168648, 39.9552849]",15987.3,1397.7,"[[0, 304, 0]]"
"[-75.0844217, 40.0579073]","[-75.1686976, 39.9550004]",15986.5,1397.6,"[[0, 304, 0]]"
"[-75.0844217, 40.0579073]","[-75.1666223, 39.951126]",16509.0,1447.7,"[[0, 315, 0]]"
"[-75.0844217, 40.0579073]","[-75.1658779, 39.9533135]",15831.2,1372.8,"[[0, 300, 0]]"
"[-75.0844217, 40.0579073]","[-75.1541314, 39.9549848]",15253.2,1329.9,"[[0, 296, 0]]"
"[-75.0844217, 40.0579073]","[-75.1548244, 39.9607]",14658.8,1262.9,"[[0, 276, 0]]"
"[-75.0844217, 40.0579073]","[-75.1729633, 39.9619508]",15968.7,1480.8,"[[0, 300, 0]]"
"[-75.0844217, 40.0579073]","[-75.1559444, 39.9539208]",15233.7,1350.3,"[[0, 296, 0]]"
"[-75.0844217, 40.0579073]","[-75.1669336, 39.9542882]",16084.9,1414.8,"[[0, 306, 0]]"
"[-75.0844217, 40.0579073]","[-75.1604697, 39.9560453]",15502.7,1339.4,"[[0, 296, 0]]"
"[-75.0844217, 40.0579073]","[-75.1675937, 39.9498476]",16364.8,1454.2,"[[0, 316, 0]]"
"[-75.0844217, 40.0579073]","[-75.1670679, 39.9458843]",16715.8,1516.7,"[[0, 324, 0]]"
"[-75.0844217, 40.0579073]","[-75.1552838, 39.9513696]",15476.7,1370.3,"[[0, 269, 0]]"
"[-75.0844217, 40.0579073]","[-75.1779185, 39.9527664]",17114.8,1516.2,"[[0, 328, 0]]"
"[-75.0844217, 40.0579073]","[-75.1797862, 39.9531685]",17617.2,1580.3,"[[0, 332, 0]]"
"[-75.0844217, 40.0579073]","[-75.1544702, 39.9614844]",14565.8,1240.6,"[[0, 273, 0]]"
"[-75.0844217, 40.0579073]","[-75.1655897, 39.9673357]",14522.5,1280.7,"[[0, 273, 0]]"
"[-75.0844217, 40.0579073]","[-75.16608, 39.9510606]",16555.7,1452.5,"[[0, 315, 0]]"
"[-75.0844217, 40.0579073]","[-75.1664209, 39.9503433]",16190.9,1444.9,"[[0, 312, 0]]"
"[-75.0844217, 40.0579073]","[-75.1561177, 39.9487839]",15882.6,1420.2,"[[0, 272, 0]]"
"[-75.0844217, 40.0579073]","[-75.1595695, 39.950964]",15568.7,1367.2,"[[0, 305, 0]]"
"[-75.0844217, 40.0579073]","[-75.1498611, 39.9520642]",14900.2,1276.8,"[[0, 255, 0]]"
"[-75.0812411, 40.05632]","[-75.1666744, 39.9529142]",16568.0,1476.6,"[[0, 316, 0]]"
"[-75.0812411, 40.05632]","[-75.1547527, 39.9461843]",16144.3,1476.1,"[[0, 277, 0]]"
"[-75.0812411, 40.05632]","[-75.1588087, 39.9519519]",15759.1,1393.5,"[[0, 305, 0]]"
"[-75.0812411, 40.05632]","[-75.1555507, 39.9554634]",15357.6,1352.4,"[[0, 297, 0]]"
"[-75.0812411, 40.05632]","[-75.1683452, 39.953861]",16314.1,1442.4,"[[0, 312, 0]]"
"[-75.0812411, 40.05632]","[-75.1524421, 39.9486116]",15699.9,1414.6,"[[0, 267, 0]]"
"[-75.0812411, 40.05632]","[-75.1696579, 39.9671376]",15128.6,1351.1,"[[0, 284, 0]]"
"[-75.0812411, 40.05632]","[-75.1687489, 39.9511026]",16622.6,1471.4,"[[0, 318, 0]]"
"[-75.0812411, 40.05632]","[-75.1513737, 39.9499548]",15514.3,1373.6,"[[0, 265, 0]]"
"[-75.0812411, 40.05632]","[-75.1658471, 39.9513517]",16284.1,1454.9,"[[0, 313, 0]]"
"[-75.0812411, 40.05632]","[-75.1808705, 39.9496709]",18091.2,1659.4,"[[0, 346, 0]]"
"[-75.0812411, 40.05632]","[-75.16993, 39.954012]",16885.5,1508.8,"[[0, 322, 0]]"
"[-75.0812411, 40.05632]","[-75.1689145, 39.9534406]",16883.0,1512.7,"[[0, 323, 0]]"
"[-75.0812411, 40.05632]","[-75.1621446, 39.9565208]",15586.0,1372.3,"[[0, 300, 0]]"
"[-75.0812411, 40.05632]","[-75.1562587, 39.9526803]",15762.5,1395.1,"[[0, 275, 0]]"
"[-75.0812411, 40.05632]","[-75.160496, 39.9495792]",15932.5,1423.0,"[[0, 311, 0]]"
"[-75.0812411, 40.05632]","[-75.1596329, 39.9559719]",15313.3,1346.5,"[[0, 297, 0]]"
"[-75.0812411, 40.05632]","[-75.1543343, 39.9547207]",15650.6,1388.7,"[[0, 271, 0]]"
"[-75.0812411, 40.05632]","[-75.1512021, 39.9477973]",15666.9,1392.2,"[[0, 268, 0]]"
"[-75.0812411, 40.05632]","[-75.1712732, 39.953202]",16718.8,1503.8,"[[0, 318, 0]]"
"[-75.0812411, 40.05632]","[-75.1646384, 39.9505969]",16401.3,1469.6,"[[0, 314, 0]]"
"[-75.0812411, 40.05632]","[-75.1553822, 39.9564976]",15719.1,1420.9,"[[0, 303, 0]]"
"[-75.0812411, 40.05632]","[-75.1521691, 39.9498503]",15773.9,1423.0,"[[0, 271, 0]]"
"[-75.0812411, 40.05632]","[-75.1655738, 39.9548474]",15975.4,1399.7,"[[0, 301, 0]]"
"[-75.0812411, 40.05632]","[-75.1462398, 39.9534007]",15326.0,1352.0,"[[0, 269, 0]]"
"[-75.0812411, 40.05632]","[-75.1669977, 39.9542162]",16340.8,1453.3,"[[0, 310, 0]]"
"[-75.0812411, 40.05632]","[-75.1659027, 39.9549769]",16015.3,1409.3,"[[0, 302, 0]]"
"[-75.0812411, 40.05632]","[-75.1691875, 39.9538357]",16374.5,1452.0,"[[0, 314, 0]]"
"[-75.0812411, 40.05632]","[-75.168648, 39.9552849]",16247.2,1437.0,"[[0, 308, 0]]"
"[-75.0812411, 40.05632]","[-75.1686976, 39.9550004]",16246.4,1436.9,"[[0, 308, 0]]"
"[-75.0812411, 40.05632]","[-75.1666223, 39.951126]",16769.0,1487.0,"[[0, 319, 0]]"
"[-75.0812411, 40.05632]","[-75.1658779, 39.9533135]",16091.1,1412.1,"[[0, 304, 0]]"
"[-75.0812411, 40.05632]","[-75.1541314, 39.9549848]",15513.2,1369.2,"[[0, 300, 0]]"
"[-75.0812411, 40.05632]","[-75.1548244, 39.9607]",14918.7,1302.2,"[[0, 280, 0]]"
"[-75.0812411, 40.05632]","[-75.1729633, 39.9619508]",16228.6,1520.1,"[[0, 304, 0]]"
"[-75.0812411, 40.05632]","[-75.1559444, 39.9539208]",15493.6,1389.6,"[[0, 300, 0]]"
"[-75.0812411, 40.05632]","[-75.1669336, 39.9542882]",16344.8,1454.1,"[[0, 310, 0]]"
"[-75.0812411, 40.05632]","[-75.1604697, 39.9560453]",15762.6,1378.7,"[[0, 300, 0]]"
"[-75.0812411, 40.05632]","[-75.1675937, 39.9498476]",16624.8,1493.5,"[[0, 320, 0]]"
"[-75.0812411, 40.05632]","[-75.1670679, 39.9458843]",16975.7,1556.0,"[[0, 328, 0]]"
"[-75.0812411, 40.05632]","[-75.1552838, 39.9513696]",15736.6,1409.6,"[[0, 273, 0]]"
"[-75.0812411, 40.05632]","[-75.1779185, 39.9527664]",17374.7,1555.4,"[[0, 332, 0]]"
"[-75.0812411, 40.05632]","[-75.1797862, 39.9531685]",17877.2,1619.6,"[[0, 336, 0]]"
"[-75.0812411, 40.05632]","[-75.1544702, 39.9614844]",14825.8,1279.9,"[[0, 277, 0]]"
"[-75.0812411, 40.05632]","[-75.1655897, 39.9673357]",14782.5,1320.0,"[[0, 277, 0]]"
"[-75.0812411, 40.05632]","[-75.16608, 39.9510606]",16815.7,1491.8,"[[0, 319, 0]]"
"[-75.0812411, 40.05632]","[-75.1664209, 39.9503433]",16450.8,1484.1,"[[0, 316, 0]]"
"[-75.0812411, 40.05632]","[-75.1561177, 39.9487839]",16142.5,1459.5,"[[0, 276, 0]]"
"[-75.0812411, 40.05632]","[-75.1595695, 39.950964]",15828.6,1406.5,"[[0, 309, 0]]"
"[-75.0812411, 40.05632]","[-75.1498611, 39.9520642]",15160.1,1316.0,"[[0, 259, 0]]"
"[-75.080106, 40.0587237]","[-75.1666744, 39.9529142]",16834.7,1467.1,"[[0, 333, 0]]"
"[-75.080106, 40.0587237]","[-75.1547527, 39.9461843]",16411.0,1466.6,"[[0, 294, 0]]"
"[-75.080106, 40.0587237]","[-75.1588087, 39.9519519]",16025.8,1383.9,"[[0, 322, 0]]"
"[-75.080106, 40.0587237]","[-75.1555507, 39.9554634]",15624.3,1342.8,"[[0, 314, 0]]"
"[-75.080106, 40.0587237]","[-75.1683452, 39.953861]",16580.8,1432.9,"[[0, 329, 0]]"
"[-75.080106, 40.0587237]","[-75.1524421, 39.9486116]",15966.6,1405.0,"[[0, 284, 0]]"
"[-75.080106, 40.0587237]","[-75.1696579, 39.9671376]",15395.3,1341.6,"[[0, 301, 0]]"
