source_index,target_index,distance_m,duration_s,waycategory
"[-75.3067767, 39.9500039]","[-75.1797862, 39.9531685]",11758.9,1247.6,"[[0, 278, 0]]"
"[-75.3067767, 39.9500039]","[-75.1544702, 39.9614844]",16241.0,1545.0,"[[0, 329, 0]]"
"[-75.3067767, 39.9500039]","[-75.1655897, 39.9673357]",14914.2,1410.3,"[[0, 300, 0]]"
"[-75.3067767, 39.9500039]","[-75.16608, 39.9510606]",12948.9,1391.9,"[[0, 294, 0]]"
"[-75.3067767, 39.9500039]","[-75.1664209, 39.9503433]",13128.3,1421.3,"[[0, 297, 0]]"
"[-75.3067767, 39.9500039]","[-75.1561177, 39.9487839]",14371.0,1551.5,"[[0, 329, 0]]"
"[-75.3067767, 39.9500039]","[-75.1595695, 39.950964]",13734.2,1507.8,"[[0, 303, 0]]"
"[-75.3067767, 39.9500039]","[-75.1498611, 39.9520642]",16417.5,1532.0,"[[0, 224, 0], [224, 313, 1], [313, 320, 0]]"
"[-75.3069002, 39.9507614]","[-75.1666744, 39.9529142]",12933.2,1389.6,"[[0, 299, 0]]"
"[-75.3069002, 39.9507614]","[-75.1547527, 39.9461843]",14279.9,1524.0,"[[0, 329, 0]]"
"[-75.3069002, 39.9507614]","[-75.1588087, 39.9519519]",15679.9,1498.6,"[[0, 223, 0], [223, 292, 1], [292, 319, 0]]"
"[-75.3069002, 39.9507614]","[-75.1555507, 39.9554634]",15449.8,1458.0,"[[0, 223, 0], [223, 292, 1], [292, 316, 0]]"
"[-75.3069002, 39.9507614]","[-75.1683452, 39.953861]",13191.9,1422.8,"[[0, 303, 0]]"
"[-75.3069002, 39.9507614]","[-75.1524421, 39.9486116]",14222.4,1578.5,"[[0, 310, 0]]"
"[-75.3069002, 39.9507614]","[-75.1696579, 39.9671376]",14462.0,1361.7,"[[0, 292, 0]]"
"[-75.3069002, 39.9507614]","[-75.1687489, 39.9511026]",12649.8,1354.1,"[[0, 292, 0]]"
"[-75.3069002, 39.9507614]","[-75.1513737, 39.9499548]",14164.1,1545.1,"[[0, 310, 0]]"
"[-75.3069002, 39.9507614]","[-75.1658471, 39.9513517]",13200.3,1437.9,"[[0, 308, 0]]"
"[-75.3069002, 39.9507614]","[-75.1808705, 39.9496709]",12603.6,1336.1,"[[0, 260, 0]]"
"[-75.3069002, 39.9507614]","[-75.16993, 39.954012]",12735.7,1361.2,"[[0, 296, 0]]"
"[-75.3069002, 39.9507614]","[-75.1689145, 39.9534406]",12733.3,1365.1,"[[0, 297, 0]]"
"[-75.3069002, 39.9507614]","[-75.1621446, 39.9565208]",14947.6,1423.0,"[[0, 223, 0], [223, 292, 1], [292, 304, 0]]"
"[-75.3069002, 39.9507614]","[-75.1562587, 39.9526803]",15766.0,1519.6,"[[0, 223, 0], [223, 292, 1], [292, 321, 0]]"
"[-75.3069002, 39.9507614]","[-75.160496, 39.9495792]",13444.4,1462.8,"[[0, 301, 0]]"
"[-75.3069002, 39.9507614]","[-75.1596329, 39.9559719]",15097.1,1423.7,"[[0, 223, 0], [223, 292, 1], [292, 308, 0]]"
"[-75.3069002, 39.9507614]","[-75.1543343, 39.9547207]",15763.5,1512.8,"[[0, 223, 0], [223, 292, 1], [292, 321, 0]]"
"[-75.3069002, 39.9507614]","[-75.1512021, 39.9477973]",14347.7,1559.2,"[[0, 312, 0]]"
"[-75.3069002, 39.9507614]","[-75.1712732, 39.953202]",12517.0,1344.6,"[[0, 290, 0]]"
"[-75.3069002, 39.9507614]","[-75.1646384, 39.9505969]",12972.7,1389.4,"[[0, 294, 0]]"
"[-75.3069002, 39.9507614]","[-75.1553822, 39.9564976]",15811.3,1526.5,"[[0, 223, 0], [223, 292, 1], [292, 322, 0]]"
"[-75.3069002, 39.9507614]","[-75.1521691, 39.9498503]",14077.0,1532.5,"[[0, 308, 0]]"
"[-75.3069002, 39.9507614]","[-75.1655738, 39.9548474]",14953.1,1419.3,"[[0, 223, 0], [223, 292, 1], [292, 300, 0]]"
"[-75.3069002, 39.9507614]","[-75.1462398, 39.9534007]",16477.4,1550.5,"[[0, 223, 0], [223, 312, 1], [312, 329, 0]]"
"[-75.3069002, 39.9507614]","[-75.1669977, 39.9542162]",14733.1,1447.2,"[[0, 223, 0], [223, 286, 1], [286, 319, 0]]"
"[-75.3069002, 39.9507614]","[-75.1659027, 39.9549769]",14992.9,1428.8,"[[0, 223, 0], [223, 292, 1], [292, 301, 0]]"
"[-75.3069002, 39.9507614]","[-75.1691875, 39.9538357]",13252.4,1432.3,"[[0, 305, 0]]"
"[-75.3069002, 39.9507614]","[-75.168648, 39.9552849]",14639.5,1430.8,"[[0, 223, 0], [223, 286, 1], [286, 317, 0]]"
"[-75.3069002, 39.9507614]","[-75.1686976, 39.9550004]",14638.7,1430.7,"[[0, 223, 0], [223, 286, 1], [286, 317, 0]]"
"[-75.3069002, 39.9507614]","[-75.1666223, 39.951126]",12796.2,1369.7,"[[0, 293, 0]]"
"[-75.3069002, 39.9507614]","[-75.1658779, 39.9533135]",15068.7,1431.7,"[[0, 223, 0], [223, 292, 1], [292, 303, 0]]"
"[-75.3069002, 39.9507614]","[-75.1541314, 39.9549848]",15605.3,1474.8,"[[0, 223, 0], [223, 292, 1], [292, 319, 0]]"
"[-75.3069002, 39.9507614]","[-75.1548244, 39.9607]",16228.0,1549.9,"[[0, 331, 0]]"
"[-75.3069002, 39.9507614]","[-75.1729633, 39.9619508]",14336.0,1453.2,"[[0, 223, 0], [223, 286, 1], [286, 314, 0]]"
"[-75.3069002, 39.9507614]","[-75.1559444, 39.9539208]",15585.8,1495.2,"[[0, 223, 0], [223, 292, 1], [292, 319, 0]]"
